DIA ;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN _ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
10/08/2015;3991.13;19894.18;23885.31;995.22;7986;189;8175
11/08/2015;4364.40;19817.30;24181.70;1007.57;8750;191;8941
12/08/2015;4633.72;19725.32;24359.04;1014.96;9132;251;9383
13/08/2015;4498.85;19530.97;24029.82;1001.24;8935;236;9171
14/08/2015;4309.22;22770.43;27079.65;1128.32;8165;231;8396
15/08/2015;4156.77;21431.75;25588.52;1066.19;7000;297;7297
16/08/2015;3921.48;19269.10;23190.58;966.27;6770;336;7106
17/08/2015;4139.10;18910.27;23049.37;960.39;8340;200;8540
18/08/2015;4130.08;19764.92;23895.00;995.63;8790;269;9059
19/08/2015;4298.80;20216.48;24515.28;1021.47;8910;227;9137
20/08/2015;4429.10;20311.57;24740.67;1030.86;9327;292;9619
21/08/2015;4288.75;21897.31;26186.06;1091.09;8737;306;9043
22/08/2015;4247.52;21262.88;25510.40;1062.93;7668;475;8143
23/08/2015;4500.27;18054.25;22554.52;939.77;7911;469;8380
24/08/2015;4089.20;19661.07;23750.27;989.59;8635;223;8858
25/08/2015;4406.80;19250.90;23657.70;985.74;9397;212;9609
26/08/2015;4727.38;18599.57;23326.95;971.96;10135;197;10332
27/08/2015;4786.27;18617.77;23404.04;975.17;10421;189;10610
28/08/2015;4808.35;19826.72;24635.07;1026.46;10309;245;10554
29/08/2015;4902.48;18933.37;23835.85;993.16;9433;400;9833
30/08/2015;4264.58;16590.13;20854.71;868.95;8013;309;8322
31/08/2015;4193.65;17616.37;21810.02;908.75;9601;142;9743
01/09/2015;4862.37;15893.35;20755.72;864.82;11133;162;11295
02/09/2015;5299.17;15529.33;20828.50;867.85;11942;158;12100
03/09/2015;5577.73;15865.73;21443.46;893.48;12919;171;13090
04/09/2015;5399.38;17933.35;23332.73;972.2;12253;177;12430
05/09/2015;5619.78;16950.61;22570.39;940.43;10598;454;11052
06/09/2015;6045.88;14331.35;20377.23;849.05;10629;561;11190
07/09/2015;5006.28;16303.12;21309.40;887.89;10560;226;10786
08/09/2015;5602.02;16734.39;22336.41;930.68;12315;194;12509
09/09/2015;5851.15;17181.96;23033.11;959.71;12863;184;13047
10/09/2015;5911.82;18342.10;24253.92;1010.58;13747;164;13911
11/09/2015;6347.50;20914.70;27262.20;1135.93;13558;254;13812
12/09/2015;5990.42;18784.65;24775.07;1032.29;11419;513;11932
13/09/2015;5927.62;15314.63;21242.25;885.09;10391;549;10940
14/09/2015;5101.38;22461.62;27563.00;1148.46;11076;206;11282
15/09/2015;4420.27;22451.68;26871.95;1119.66;10079;106;10185
16/09/2015;3437.28;22886.11;26323.39;1096.81;7636;64;7700
17/09/2015;5186.62;25263.18;30449.80;1268.74;11823;127;11950
18/09/2015;6024.15;29454.90;35479.05;1478.29;13478;199;13677
19/09/2015;6158.48;27091.52;33250.00;1385.42;12287;328;12615
20/09/2015;6386.03;22464.77;28850.80;1202.12;11685;745;12430
21/09/2015;5225.35;26901.23;32126.58;1338.61;12068;230;12298
22/09/2015;5904.35;27842.22;33746.57;1406.11;13662;130;13792
23/09/2015;5701.05;28433.28;34134.33;1422.26;13555;198;13753
24/09/2015;6056.50;29494.80;35551.30;1481.30;13922;183;14105
25/09/2015;6405.98;31718.06;38124.04;1588.50;14976;332;15308
26/09/2015;6680.65;28258.18;34938.83;1455.78;13485;594;14079
27/09/2015;6528.42;23754.89;30283.31;1261.80;12334;714;13048
28/09/2015;5237.50;25403.84;30641.34;1276.72;11880;239;12119
29/09/2015;5341.68;33301.37;38643.05;1610.13;12505;130;12635
30/09/2015;5716.17;34253.27;39969.44;1665.39;13490;137;13627
01/10/2015;5935.95;34877.47;40813.42;1700.56;13882;198;14080
02/10/2015;6523.03;35153.00;41676.03;1736.50;15009;250;15259
03/10/2015;6574.25;33479.02;40053.27;1668.89;13645;538;14183
04/10/2015;5839.33;32420.32;38259.65;1594.15;11192;595;11787
